meth,1
eth,2
prop,3
but,4
pent,5
hex,6
hept,7
oct,8
non,9
dec,10
undec,11
dodec,12
tridec,13
tetradec,14
pentadec,15
hexadec,16
heptadec,17
octadec,18
nonadec,19
eicosan,20
